,Id,SalePrice,LotArea,Street,OverallQual,OverallCond,KitchenQual,YearBuilt,Neighborhood
0,101,205000,10603,Pave,6,7,Gd,1977,NWAmes
1,102,178000,9206,Pave,6,5,Gd,1985,SawyerW
2,103,118964,7018,Pave,5,5,TA,1979,SawyerW
3,104,198900,10402,Pave,7,5,Gd,2009,CollgCr
4,105,169500,7758,Pave,7,4,TA,1931,IDOTRR
5,106,250000,9375,Pave,8,5,Gd,2003,Somerst
6,107,100000,10800,Pave,4,7,TA,1885,OldTown
7,108,115000,6000,Pave,5,5,TA,1948,OldTown
8,109,115000,8500,Pave,5,7,Fa,1919,IDOTRR
9,110,190000,11751,Pave,6,6,TA,1977,NWAmes
10,111,136900,9525,Pave,6,4,TA,1954,Edwards
11,112,180000,7750,Pave,7,5,TA,2000,Gilbert
12,113,383970,9965,Pave,7,5,Ex,2007,CollgCr
13,114,217000,21000,Pave,6,5,Gd,1953,Crawfor
14,115,259500,7259,Pave,6,8,Gd,1945,Crawfor
15,116,176000,3230,Pave,6,5,TA,1999,Somerst
16,117,139000,11616,Pave,5,5,TA,1962,Sawyer
17,118,155000,8536,Pave,5,5,TA,2006,Edwards
18,119,320000,12376,Pave,7,5,Gd,1990,SawyerW
19,120,163990,8461,Pave,6,5,Gd,2005,CollgCr
20,121,180000,21453,Pave,6,5,TA,1969,ClearCr
21,122,100000,6060,Pave,4,5,TA,1939,IDOTRR
22,123,136000,9464,Pave,6,7,TA,1958,NAmes
23,124,153900,7892,Pave,6,5,Gd,1993,SawyerW
24,125,181000,17043,Pave,6,5,TA,1979,NWAmes
25,126,84500,6780,Pave,6,8,TA,1935,IDOTRR
26,127,128000,4928,Pave,6,5,TA,1976,NPkVill
27,128,87000,4388,Pave,5,7,TA,1930,OldTown
28,129,155000,7590,Pave,6,5,TA,1966,NAmes
29,130,150000,8973,Pave,5,7,Ex,1958,NAmes
30,131,226000,14200,Pave,7,6,Gd,1966,NAmes
31,132,244000,12224,Pave,6,5,Gd,2000,Gilbert
32,133,150750,7388,Pave,5,6,Gd,1959,NAmes
33,134,220000,6853,Pave,8,5,Gd,2001,Timber
34,135,180000,10335,Pave,5,6,TA,1968,Sawyer
35,136,174000,10400,Pave,7,6,TA,1970,NWAmes
36,137,143000,10355,Pave,5,5,TA,1967,NAmes
37,138,171000,11070,Pave,7,5,TA,1988,Mitchel
38,139,230000,9066,Pave,8,5,Gd,1999,CollgCr
39,140,231500,15426,Pave,6,5,Gd,1997,CollgCr
